,statecode,bc_hundred,bc_ten,bc_twentyfive,blockcode,hundred_fifty,providername,ten,twentyfive_three,type
0,12,121706,461333,133343,483785,126921.0,112,606383.0,143576.0,business
1,12,10232,483793,349284,484481,10293.0,54,1652906.0,616251.0,consumer
2,12,0,483368,0,483551,0.0,6,2773584.0,0.0,mobile
0,46,10220,85345,19210,87845,10355.0,74,111156.0,24271.0,business
1,46,15686,87316,58146,88360,15755.0,67,195810.0,79543.0,consumer
2,46,0,88142,0,88282,0.0,12,312477.0,0.0,mobile
0,28,1324,165798,20742,171778,1350.0,72,205827.0,28743.0,business
1,28,1826,171778,59319,171778,1832.0,45,440848.0,78876.0,consumer
2,28,0,171631,0,171771,0.0,6,923065.0,0.0,mobile
0,2,976,27193,3636,39000,986.0,39,33191.0,4705.0,business
1,2,111,30698,9389,39108,113.0,33,56501.0,11232.0,consumer
2,2,0,21713,0,29981,0.0,12,75303.0,0.0,mobile
0,10,3540,23270,3567,24115,3765.0,31,27160.0,3873.0,business
1,10,7121,24115,16453,24115,7121.0,14,73160.0,23069.0,consumer
2,10,0,24016,0,24095,0.0,4,132207.0,0.0,mobile
0,50,3762,28632,3977,32580,4057.0,34,34438.0,4484.0,business
1,50,3205,32580,14901,32580,3205.0,27,87147.0,17197.0,consumer
2,50,0,32189,0,32232,0.0,6,145937.0,0.0,mobile
0,78,4429,4433,4430,4780,4431.0,4,12808.0,8597.0,business
1,78,2,4431,4430,4780,2.0,4,12805.0,8597.0,consumer
2,78,0,4662,0,4803,0.0,5,14646.0,0.0,mobile
0,15,276,23829,5202,24953,281.0,18,30140.0,5796.0,business
1,15,3008,24953,14615,24953,3010.0,9,66308.0,17620.0,consumer
2,15,0,24459,0,24627,0.0,5,124838.0,0.0,mobile
0,66,0,37,0,3738,0.0,2,37.0,0.0,business
1,66,0,3738,0,3738,0.0,2,4304.0,0.0,consumer
2,66,0,3626,0,3667,0.0,4,21197.0,0.0,mobile
0,44,4446,23563,8959,23599,5035.0,26,35991.0,12461.0,business
1,44,15928,23545,19029,23549,15932.0,10,81238.0,34260.0,consumer
2,44,0,25172,0,25177,0.0,4,145486.0,0.0,mobile
0,60,0,0,0,823,0.0,2,0.0,0.0,business
1,60,0,0,0,823,0.0,2,0.0,0.0,consumer
2,60,0,0,0,544,0.0,2,0.0,0.0,mobile
0,69,0,671,0,1143,0.0,1,671.0,0.0,business
1,69,0,671,0,1143,0.0,2,671.0,0.0,consumer
2,69,0,1222,0,1250,0.0,1,1511.0,0.0,mobile
